Team,Team_Code,Stage_1,Stage_2,Stage_3,Stage_4,Stage_5,Stage_6,Stage_7,Stage_8,Stage_9,Stage_10,Stage_11,Stage_12,Stage_13,Stage_14,Stage_15,Stage_16,Stage_17,Stage_18,Stage_19,Stage_20,Stage_21
Alpecin-Deceuninck,ADC,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Arkea-B&B Hotels,ARK,21,21,21,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19
Astana Qazaqstan,AST,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Bahrain Victorious,TBV,9,6,6,5,5,5,5,5,6,6,6,6,5,5,8,8,7,8,7,7,7
Cofidis,COF,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Decathlon AG2R La Mondiale,DAT,13,12,12,12,12,12,12,12,12,12,10,10,10,10,11,11,10,10,11,11,11
DSM-Firmenich-PostNL,DFP,1,8,8,10,10,10,10,10,11,11,13,13,13,14,15,15,14,14,15,15,15
EF Education-EasyPost,EFE,7,7,7,8,8,8,8,8,8,8,9,9,9,8,6,6,9,7,8,10,10
Groupama-FDJ,GFC,18,13,13,16,16,16,16,16,15,15,17,17,17,16,16,16,16,15,14,14,14
Ineos Grenadiers,IGD,3,3,3,2,2,2,4,4,3,3,3,3,3,4,4,4,4,3,4,3,4
Intermarche-Wanty,IWA,16,15,15,13,13,13,13,13,14,14,15,14,14,17,17,17,17,17,17,17,17
Israel-Premier Tech,IPT,15,16,16,14,14,14,14,14,13,13,11,11,11,11,10,10,11,11,10,9,9
Jayco-AlUla,JAY,14,17,17,15,15,15,15,15,16,16,16,16,16,13,14,14,15,16,16,16,16
Lidl-Trek,LTK,5,10,10,9,9,9,9,9,9,9,8,8,6,7,5,5,5,5,5,5,5
Lotto Dstny,LTD,12,14,14,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20
Movistar Team,MOV,8,1,1,6,6,6,6,6,5,5,7,7,8,6,7,7,6,6,6,6,6
Red Bull-Bora-Hansgrohe,RBH,6,4,4,4,4,4,3,3,4,4,5,5,7,9,9,9,8,9,9,8,8
Soudal-Quickstep,SOQ,4,5,5,3,3,3,2,2,2,2,2,2,2,2,3,3,3,4,3,4,3
Total Energies,TEN,19,19,19,17,17,17,17,17,17,17,14,15,15,15,13,13,13,12,12,12,12
UAE Team Emirates,UAD,10,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uno-X-Mobility,UXM,11,11,11,11,11,11,11,11,10,10,12,12,12,12,12,12,12,13,13,13,13
Visma-Lease a Bike,TVL,2,9,9,7,7,7,7,7,7,7,4,4,4,3,2,2,2,2,2,2,2
